Brand,Red Flag Term Rate
Lululemon,0.1362
Everlane,0.1313
H&M,0.0976
Shein,0.0912
Zara,0.0782
Eileen Fisher,0.0769
Ralph Lauren,0.0523
Patagonia,0.0424
Reformation,0.0409
Puma,0.0158
Unilever,0.0122
L'Occitane,0.0108
Sephora,0.0072
Kering,0.0
L'Oreal,0.0
Lush,0.0
